snr_db,realization,noise_sigma,eta_dc,eta_total,eta_ac,eps_l2_vs_clean,eps_l2_ac_vs_clean,rmse_vs_clean,eps_parseval
30.0,62,2.107314677006971,0.9325517811546489,0.991830462984947,0.8788769050553507,0.09103301860103434,0.3486407570862002,23.235035170388397,5.489359909568813e-16
30.0,63,2.107314677006971,0.9310787471712932,0.991424616193516,0.8755770759449643,0.09101128286293868,0.3485380202723421,23.229487396109697,2.7383886862100644e-16
30.0,64,2.107314677006971,0.9318076219124032,0.9915444753439553,0.8760048425766411,0.09097358712465553,0.3483428475969645,23.219866032144814,0.0
30.0,65,2.107314677006971,0.9328605189597726,0.9919488554281342,0.8800833064669956,0.09102401828894957,0.34861145689131384,23.23273795371858,4.1193244657006135e-16
30.0,66,2.107314677006971,0.9305806067139334,0.9913824527569273,0.8758625387640441,0.0909206324413558,0.34823694008691436,23.206350014025066,2.7437221126653645e-16
30.0,67,2.107314677006971,0.9317562489765105,0.9917325577179489,0.8788542224297503,0.09095137357104381,0.3483513346287396,23.21419630145413,2.7518794007672083e-16
30.0,68,2.107314677006971,0.9310242389527044,0.9913349009423589,0.8743747234379952,0.0909793725056878,0.34846232281852924,23.22134267802369,4.1226548055282827e-16
30.0,69,2.107314677006971,0.9324161646566572,0.9919163471251629,0.8803907349476385,0.09107370744368005,0.3485636414324278,23.245420486666426,0.0
30.0,70,2.107314677006971,0.9321436131944584,0.991912093875323,0.880808476468769,0.0909551347882949,0.34833232683308024,23.215156304939192,4.1368220473880534e-16
30.0,71,2.107314677006971,0.9316657784557731,0.9916872271924818,0.8783512474472547,0.09096418689641367,0.3481238991030519,23.21746674189644,4.091994378837792e-16
30.0,72,2.107314677006971,0.9318509880165768,0.9920838773415146,0.8838409768815023,0.09095135063396637,0.348287414060702,23.214190447053063,1.3694798116674703e-16
30.0,73,2.107314677006971,0.9322433007734837,0.9917433209577545,0.8781422481245335,0.09088373263326817,0.34809759835367343,23.196931801250493,1.3750117324482193e-16
30.0,74,2.107314677006971,0.9313780021649161,0.9921142447349584,0.8850841491966874,0.09094806946712994,0.3483138393251875,23.2133529704098,1.3705259850370873e-16
30.0,75,2.107314677006971,0.9319153670594162,0.9916804591355225,0.8778058938536444,0.09104494547657974,0.34870288210601447,23.23807935564149,1.372551620178663e-16
30.0,76,2.107314677006971,0.931650417547935,0.9913962759274699,0.8741217756734084,0.0909580564070812,0.3483729967276642,23.21590201145642,1.372437011142346e-16
30.0,77,2.107314677006971,0.9322284884515094,0.9918298554533,0.8794457381866999,0.09101137262163303,0.3485415699516849,23.2295103058896,1.3710302530246645e-16
30.0,78,2.107314677006971,0.9331266404017982,0.9917990133181824,0.8773654153000229,0.09104091610715556,0.3485936579105897,23.23705090968063,4.11039305641958e-16
30.0,79,2.107314677006971,0.9315819960035506,0.9919213389132268,0.8819219998409715,0.09101228241006491,0.34837469455296466,23.229742517965366,4.1501613607622385e-16
30.0,80,2.107314677006971,0.9313307354532807,0.9918165541133135,0.8808281122463614,0.09106791590936995,0.34880307546321193,23.24394227024063,2.747391834880741e-16
30.0,81,2.107314677006971,0.930637262977517,0.9915397521819036,0.8780289218495814,0.09100445634728276,0.3485011630273939,23.227745013688526,2.7552244987261754e-16
