id,basis,threshold,achieved,n_coeff,coeff_ratio,eps_l2,rmse,snr_db
S3,total,0.75,0.9411764705882354,1,0.038461538461538464,0.24253562503633297,0.8514693182963199,12.30448921378274
S3,total,0.8,0.9411764705882354,1,0.038461538461538464,0.24253562503633297,0.8514693182963199,12.30448921378274
S3,total,0.9,0.9411764705882354,1,0.038461538461538464,0.24253562503633297,0.8514693182963199,12.30448921378274
S3,total,0.95,0.9817444219066939,3,0.11538461538461539,0.13511320473331345,0.47434164902525666,17.386044098379053
S3,total,0.99,0.9963488843813387,5,0.19230769230769232,0.06042446208830725,0.2121320343559649,24.37574414173921
S3,total,0.995,0.9963488843813387,5,0.19230769230769232,0.06042446208830725,0.2121320343559649,24.37574414173921
S3,total,0.999,1.0,7,0.2692307692307692,1.0994828615603848e-15,3.859952213086487e-15,299.17623071829235
S3,ac,0.5,0.6896551724137943,2,0.07692307692307693,0.5570860145311555,0.4743416490252567,5.081554884596314
S3,ac,0.75,0.9379310344827586,4,0.15384615384615385,0.24913643956122064,0.21213203435596487,12.071254927956476
S3,ac,0.8,0.9379310344827586,4,0.15384615384615385,0.24913643956122064,0.21213203435596487,12.071254927956476
S3,ac,0.9,0.9379310344827586,4,0.15384615384615385,0.24913643956122064,0.21213203435596487,12.071254927956476
S3,ac,0.95,1.0000000000000018,6,0.23076923076923078,4.5586090995711684e-15,3.8815157823912646e-15,286.82335293849076
S3,ac,0.99,1.0000000000000018,6,0.23076923076923078,4.5586090995711684e-15,3.8815157823912646e-15,286.82335293849076
S3,ac,0.995,1.0000000000000018,6,0.23076923076923078,4.5586090995711684e-15,3.8815157823912646e-15,286.82335293849076
S3,ac,0.999,1.0000000000000018,6,0.23076923076923078,4.5586090995711684e-15,3.8815157823912646e-15,286.82335293849076
S4,total,0.5,0.5739112879520407,6,0.23076923076923078,0.6527547104755036,0.7184698560464766,3.704999709866363
S4,total,0.75,0.7918967678779546,12,0.46153846153846156,0.4561833317012413,0.502108935252935,6.817211745607507
S4,total,0.8,0.8495614942752391,14,0.5384615384615384,0.3878640299444649,0.4269116856419282,8.226409889874327
S4,total,0.9,0.9284731906694373,18,0.6923076923076923,0.2674449650499382,0.29436960385902117,11.455311475410053
S4,total,0.95,0.9578468866070162,20,0.7692307692307693,0.20531223390968176,0.22598174900065365,13.751703432347762
S4,total,0.99,0.9973116535060613,23,0.8846153846153846,0.05184926705305139,0.05706911775264645,25.705147569323362
S4,total,0.995,0.9973116535060613,23,0.8846153846153846,0.05184926705305139,0.05706911775264645,25.705147569323362
S4,total,0.999,1.0,25,0.9615384615384616,3.589523691550702e-15,3.950893848112082e-15,288.8992635178767
S4,ac,0.5,0.5739112879520407,6,0.23076923076923078,0.6527547104755036,0.7184698560464766,3.704999709866363
S4,ac,0.75,0.7918967678779546,12,0.46153846153846156,0.4561833317012413,0.502108935252935,6.817211745607508
S4,ac,0.8,0.8495614942752391,14,0.5384615384615384,0.3878640299444649,0.4269116856419282,8.226409889874327
S4,ac,0.9,0.9284731906694373,18,0.6923076923076923,0.2674449650499382,0.29436960385902117,11.455311475410053
S4,ac,0.95,0.9578468866070162,20,0.7692307692307693,0.20531223390968176,0.22598174900065365,13.751703432347762
S4,ac,0.99,0.9973116535060613,23,0.8846153846153846,0.05184926705305139,0.05706911775264645,25.705147569323362
S4,ac,0.995,0.9973116535060613,23,0.8846153846153846,0.05184926705305139,0.05706911775264645,25.705147569323362
S4,ac,0.999,1.0,25,0.9615384615384616,3.588194803978217e-15,3.949431176686533e-15,288.9024797406737
S5,total,0.5,0.6517554188783286,6,0.23076923076923078,0.5901225136543016,0.14573779128995745,4.581156327138085
S5,total,0.75,0.7971364732342433,10,0.38461538461538464,0.45040373751308566,0.11123257353362355,6.927960286110472
S5,total,0.8,0.845011836082215,12,0.46153846153846156,0.39368536157417,0.0972252942930736,8.097014666133628
S5,total,0.9,0.9124907297123026,16,0.6153846153846154,0.2958196583861483,0.07305619195305334,10.579459375887003
S5,total,0.95,0.9574227427236578,20,0.7692307692307693,0.2063425726221867,0.05095875871067256,13.708223181939518
S5,total,0.99,0.9918942304631524,24,0.9230769230769231,0.09003204727677644,0.022234487605258275,20.912057482748306
S5,total,0.995,1.0000000000000002,25,0.9615384615384616,2.0452081039750527e-15,5.050885280683497e-16,293.7852499016924
S5,total,0.999,1.0000000000000002,25,0.9615384615384616,2.0452081039750527e-15,5.050885280683497e-16,293.7852499016924
S5,ac,0.5,0.6517554188783286,6,0.23076923076923078,0.5901225136543016,0.14573779128995745,4.581156327138085
S5,ac,0.75,0.7971364732342433,10,0.38461538461538464,0.45040373751308566,0.11123257353362355,6.927960286110472
S5,ac,0.8,0.845011836082215,12,0.46153846153846156,0.39368536157417,0.0972252942930736,8.097014666133628
S5,ac,0.9,0.9124907297123026,16,0.6153846153846154,0.2958196583861483,0.07305619195305334,10.579459375887005
S5,ac,0.95,0.9574227427236578,20,0.7692307692307693,0.2063425726221867,0.05095875871067257,13.708223181939516
S5,ac,0.99,0.9918942304631524,24,0.9230769230769231,0.09003204727677643,0.022234487605258275,20.91205748274831
S5,ac,0.995,1.0000000000000002,25,0.9615384615384616,2.0305738664020645e-15,5.014744286029814e-16,293.84762415019816
S5,ac,0.999,1.0000000000000002,25,0.9615384615384616,2.0305738664020645e-15,5.014744286029814e-16,293.84762415019816
