n_coeff,coeff_ratio,eta_total,eta_ac,eps_l2,rmse,snr_db,max_imag,strategy,basis,id
8,0.3076923076923077,0.05880381512011354,0.8626517351013087,0.37060526830940976,24.696816826734356,8.62176822589865,0.0,magnitude,ac,S0
10,0.38461538461538464,0.060829856176182175,0.8923737493759621,0.3280644001168619,21.861929901909363,9.680817889788248,0.0,magnitude,ac,S0
12,0.46153846153846156,0.06212777601600252,0.9114142282897267,0.2976336199260299,19.83404884210708,10.526360271415449,0.0,magnitude,ac,S0
13,0.5,0.06324688007878353,0.9278314804619714,0.26864199139008005,17.90207161272969,11.416522037095692,0.0,magnitude,ac,S0
15,0.5769230769230769,0.06435650149849578,0.9441096222979242,0.23641145848303297,15.754256577437689,12.526629554516806,0.0,magnitude,ac,S0
17,0.6538461538461539,0.06544772085710068,0.9601178059702565,0.19970526790683826,13.308187558497986,13.992209579631895,0.0,magnitude,ac,S0
19,0.7307692307692307,0.06648285352416373,0.9753031980996281,0.15715216161533166,10.472485097267722,16.073592818393617,0.0,magnitude,ac,S0
21,0.8076923076923077,0.06723534854941782,0.9863422971421747,0.11686617499441583,7.787861544020282,18.64622340190651,0.0,magnitude,ac,S0
23,0.8846153846153846,0.06773337247632313,0.9936483061789911,0.07969751452215176,5.31097392834771,21.971104449404216,0.0,magnitude,ac,S0
25,0.9615384615384616,0.06816634422372975,0.9999999999999999,9.47024510782607e-15,6.310890015114207e-13,280.47277560979984,0.0,magnitude,ac,S0
1,0.038461538461538464,1.4814845726055664e-33,0.0,1.0,0.7071067811865476,0.0,0.0,lowpass,total,S1
3,0.11538461538461539,2.1238933204016553e-31,2.1090784746755998e-31,1.0000000000000002,0.7071067811865476,-4.821637332766436e-16,0.0,lowpass,total,S1
5,0.19230769230769232,1.8601112885378024e-30,1.858629803965197e-30,1.0000000000000002,0.7071067811865476,-9.643274665532871e-16,0.0,lowpass,total,S1
7,0.2692307692307692,1.0,1.0,3.100880052457789e-15,2.1926533127389996e-15,290.1703006543777,0.0,lowpass,total,S1
9,0.34615384615384615,1.0,1.0,3.168730121027757e-15,2.240630556328796e-15,289.9822949570555,0.0,lowpass,total,S1
11,0.4230769230769231,1.0,1.0,3.128749315108877e-15,2.212359857346253e-15,290.09258464903735,0.0,lowpass,total,S1
13,0.5,1.0,1.0,3.1218806597754752e-15,2.2075029845823714e-15,290.1116740548865,0.0,lowpass,total,S1
15,0.5769230769230769,1.0,1.0,3.1653831577985306e-15,2.2382638959330283e-15,289.99147425482226,0.0,lowpass,total,S1
17,0.6538461538461539,1.0,1.0,3.46854798184623e-15,2.452633798834383e-15,289.1970458669856,0.0,lowpass,total,S1
19,0.7307692307692307,1.0,1.0,3.600118980327477e-15,2.5456685440679578e-15,288.87366291995534,0.0,lowpass,total,S1
21,0.8076923076923077,1.0,1.0,3.610995218189563e-15,2.5533592056140366e-15,288.847461733625,0.0,lowpass,total,S1
23,0.8846153846153846,1.0,1.0,3.733450321790763e-15,2.6399480397613465e-15,288.5577924625317,0.0,lowpass,total,S1
25,0.9615384615384616,1.0,1.0,3.6662724901168325e-15,2.5924461394393018e-15,288.71550519797114,0.0,lowpass,total,S1
26,1.0,1.0,1.0,3.6455348065518864e-15,2.5777823827644276e-15,288.76477501771956,0.0,lowpass,total,S1
2,0.07692307692307693,2.1090784746755998e-31,2.1090784746755998e-31,1.0,0.7071067811865476,-4.821637332766436e-16,0.0,lowpass,ac,S1
4,0.15384615384615385,1.858629803965197e-30,1.858629803965197e-30,1.0000000000000002,0.7071067811865476,-9.643274665532871e-16,0.0,lowpass,ac,S1
6,0.23076923076923078,1.0,1.0,3.085553773163557e-15,2.181815996719689e-15,290.2133376112456,0.0,lowpass,ac,S1
8,0.3076923076923077,1.0,1.0,3.17774068866721e-15,2.247001989808994e-15,289.9576309032759,0.0,lowpass,ac,S1
10,0.38461538461538464,1.0,1.0,3.138493121049824e-15,2.2192497686016628e-15,290.0655763779801,0.0,lowpass,ac,S1
12,0.46153846153846156,1.0,1.0,3.135664345190227e-15,2.217249522008884e-15,290.07340864445547,0.0,lowpass,ac,S1
14,0.5384615384615384,1.0,1.0,3.1789782269609352e-15,2.247877061528465e-15,289.9542489317524,0.0,lowpass,ac,S1
16,0.6153846153846154,1.0,1.0,3.4566408073530478e-15,2.4442141550054826e-15,289.22691494597143,0.0,lowpass,ac,S1
18,0.6923076923076923,1.0,1.0,3.588107544601011e-15,2.5371751764139874e-15,288.90269097071484,0.0,lowpass,ac,S1
20,0.7692307692307693,1.0,1.0,3.60448656605019e-15,2.548756893549902e-15,288.8631317751271,0.0,lowpass,ac,S1
22,0.8461538461538461,1.0,1.0,3.7277397721637454e-15,2.63591007139578e-15,288.5710882539252,0.0,lowpass,ac,S1
24,0.9230769230769231,1.0,1.0,3.658202118164129e-15,2.5867395247048473e-15,288.7346460626026,0.0,lowpass,ac,S1
25,0.9615384615384616,1.0,1.0,3.6371455293962386e-15,2.571850267998416e-15,288.7847864323053,0.0,lowpass,ac,S1
2,0.07692307692307693,1.0,1.0,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067,0.0,magnitude,total,S1
4,0.15384615384615385,1.0,1.0,3.1462414829091886e-15,2.2247286878155065e-15,290.04415894213696,0.0,magnitude,total,S1
6,0.23076923076923078,1.0,1.0,3.242732000818328e-15,2.292957787349261e-15,289.78177885185806,0.0,magnitude,total,S1
8,0.3076923076923077,1.0,1.0,3.262853782498791e-15,2.3071860356250715e-15,289.7280477542563,0.0,magnitude,total,S1
10,0.38461538461538464,1.0,1.0,3.305823232833159e-15,2.3375700253403618e-15,289.6144074500015,0.0,magnitude,total,S1
12,0.46153846153846156,1.0,1.0,3.5891272317112654e-15,2.5378962040843364e-15,288.90022291998486,0.0,magnitude,total,S1
14,0.5384615384615384,1.0,1.0,3.697943224016936e-15,2.6148407301452198e-15,288.6407952204079,0.0,magnitude,total,S1
16,0.6153846153846154,1.0,1.0,3.634199407722032e-15,2.5697670453843836e-15,288.79182493463026,0.0,magnitude,total,S1
17,0.6538461538461539,1.0,1.0,3.628169325034452e-15,2.56550313302488e-15,288.8062490562073,0.0,magnitude,total,S1
19,0.7307692307692307,1.0,1.0,3.6922198882927984e-15,2.6107937206436747e-15,288.65424885374307,0.0,magnitude,total,S1
21,0.8076923076923077,1.0,1.0,3.649555783971371e-15,2.5806256431647434e-15,288.7551998742156,0.0,magnitude,total,S1
23,0.8846153846153846,1.0,1.0,3.639446163591033e-15,2.5734770620385845e-15,288.77929401051705,0.0,magnitude,total,S1
25,0.9615384615384616,1.0,1.0,3.634627415938206e-15,2.5700696928964437e-15,288.79080203720144,0.0,magnitude,total,S1
26,1.0,1.0,1.0,3.6455348065518864e-15,2.5777823827644276e-15,288.76477501771956,0.0,magnitude,total,S1
2,0.07692307692307693,1.0,1.0,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765,0.0,magnitude,ac,S1
4,0.15384615384615385,1.0,1.0,3.1498557223806034e-15,2.227284341054576e-15,290.0341867680745,0.0,magnitude,ac,S1
6,0.23076923076923078,1.0,1.0,3.2457185101824403e-15,2.2950695683727016e-15,289.77378295436984,0.0,magnitude,ac,S1
8,0.3076923076923077,1.0,1.0,3.265259337699884e-15,2.308887020020283e-15,289.7216463982884,0.0,magnitude,ac,S1
10,0.38461538461538464,1.0,1.0,3.308197542954335e-15,2.339248916127685e-15,289.60817130492,0.0,magnitude,ac,S1
12,0.46153846153846156,1.0,1.0,3.591924723072005e-15,2.539874329195827e-15,288.8934554707016,0.0,magnitude,ac,S1
14,0.5384615384615384,1.0,1.0,3.7006584574717654e-15,2.616760690133634e-15,288.634419902421,0.0,magnitude,ac,S1
16,0.6153846153846154,1.0,1.0,3.6367504068792226e-15,2.571570874187234e-15,288.7857300780791,0.0,magnitude,ac,S1
17,0.6538461538461539,1.0,1.0,3.630724561016709e-15,2.5673099577154654e-15,288.80013393756633,0.0,magnitude,ac,S1
19,0.7307692307692307,1.0,1.0,3.6947348375824426e-15,2.6125720583407224e-15,288.648334488858,0.0,magnitude,ac,S1
21,0.8076923076923077,1.0,1.0,3.652096056673196e-15,2.582421887218267e-15,288.74915616528216,0.0,magnitude,ac,S1
23,0.8846153846153846,1.0,1.0,3.64195280963551e-15,2.575249528454669e-15,288.7733137169377,0.0,magnitude,ac,S1
25,0.9615384615384616,1.0,1.0,3.6371455293962386e-15,2.571850267998416e-15,288.7847864323053,0.0,magnitude,ac,S1
1,0.038461538461538464,1.485880669260181e-35,0.0,1.0,0.7060599904109931,0.0,0.0,lowpass,total,S2
3,0.11538461538461539,0.009521880608902501,0.009521880608902501,0.995227672138942,0.7026904406471763,0.04155113999908998,0.0,lowpass,total,S2
5,0.19230769230769232,0.04138522205332379,0.04138522205332379,0.9790887487591082,0.6912953925603671,0.18355880235504204,0.0,lowpass,total,S2
7,0.2692307692307692,0.40524592805717113,0.40524592805717113,0.7712030030691198,0.5445155849519117,2.2566257591323104,0.0,lowpass,total,S2
9,0.34615384615384615,0.856023072211386,0.856023072211386,0.37944291769463023,0.2679094628289898,8.417070977443855,0.0,lowpass,total,S2
11,0.4230769230769231,0.9164680228724431,0.9164680228724431,0.28901899094619576,0.20406474597606586,10.781472391086133,0.0,lowpass,total,S2
13,0.5,0.942268573542845,0.942268573542845,0.2402736491110817,0.16964761038738468,12.38587711602051,0.0,lowpass,total,S2
15,0.5769230769230769,0.957726631358133,0.957726631358133,0.20560488477141486,0.1451693829701585,13.739331431271609,0.0,lowpass,total,S2
17,0.6538461538461539,0.9686706299143527,0.9686706299143527,0.1770010454365944,0.12497335644369759,15.040483370390614,0.0,lowpass,total,S2
19,0.7307692307692307,0.977257109199118,0.977257109199118,0.1508074626829921,0.10647911565585957,16.431543338840534,0.0,lowpass,total,S2
21,0.8076923076923077,0.9845014433082975,0.9845014433082975,0.12449319937933362,0.08789966716000613,18.097087437661493,0.0,lowpass,total,S2
23,0.8846153846153846,0.9909706300105069,0.9909706300105069,0.09502299716117815,0.06709193646444526,20.443425508638757,0.0,lowpass,total,S2
25,0.9615384615384616,0.997032640949555,0.9970326409495549,0.05447347107028404,0.038461538461538256,25.276299008713433,0.0,lowpass,total,S2
26,1.0,1.0,1.0,2.9547142752994373e-15,2.086205532885145e-15,290.58969019183303,0.0,lowpass,total,S2
2,0.07692307692307693,0.009521880608902501,0.009521880608902501,0.995227672138942,0.7026904406471763,0.04155113999908998,0.0,lowpass,ac,S2
4,0.15384615384615385,0.04138522205332379,0.04138522205332379,0.9790887487591082,0.6912953925603671,0.18355880235504204,0.0,lowpass,ac,S2
6,0.23076923076923078,0.40524592805717113,0.40524592805717113,0.7712030030691198,0.5445155849519117,2.2566257591323104,0.0,lowpass,ac,S2
8,0.3076923076923077,0.856023072211386,0.856023072211386,0.37944291769463023,0.2679094628289898,8.417070977443855,0.0,lowpass,ac,S2
10,0.38461538461538464,0.9164680228724431,0.9164680228724431,0.28901899094619576,0.20406474597606586,10.781472391086133,0.0,lowpass,ac,S2
12,0.46153846153846156,0.942268573542845,0.942268573542845,0.24027364911108173,0.16964761038738468,12.385877116020508,0.0,lowpass,ac,S2
14,0.5384615384615384,0.957726631358133,0.957726631358133,0.2056048847714149,0.14516938297015852,13.739331431271607,0.0,lowpass,ac,S2
16,0.6153846153846154,0.9686706299143527,0.9686706299143527,0.1770010454365944,0.12497335644369759,15.040483370390614,0.0,lowpass,ac,S2
18,0.6923076923076923,0.977257109199118,0.977257109199118,0.1508074626829921,0.10647911565585957,16.431543338840534,0.0,lowpass,ac,S2
20,0.7692307692307693,0.9845014433082975,0.9845014433082975,0.12449319937933362,0.08789966716000615,18.09708743766149,0.0,lowpass,ac,S2
22,0.8461538461538461,0.9909706300105069,0.9909706300105069,0.09502299716117815,0.06709193646444526,20.443425508638757,0.0,lowpass,ac,S2
24,0.9230769230769231,0.9970326409495549,0.9970326409495549,0.05447347107028404,0.038461538461538256,25.276299008713433,0.0,lowpass,ac,S2
25,0.9615384615384616,1.0,1.0,2.9544659655337685e-15,2.086030211294378e-15,290.5904201716725,0.0,lowpass,ac,S2
2,0.07692307692307693,0.4507771441542149,0.4507771441542149,0.7410957130126884,0.5232580320233667,2.6025139794445478,0.0,magnitude,total,S2
4,0.15384615384615385,0.8146378501580621,0.8146378501580621,0.4305370481641943,0.30398498409838826,7.319789422140016,0.0,magnitude,total,S2
6,0.23076923076923078,0.8750828008191192,0.8750828008191192,0.3534362731538473,0.2495472116339025,9.033777618251612,0.0,magnitude,total,S2
8,0.3076923076923077,0.9069461422635406,0.9069461422635406,0.30504730409636416,0.21538169660517814,10.312656176011544,0.0,magnitude,total,S2
10,0.38461538461538464,0.9327466929339424,0.9327466929339424,0.25933242578986865,0.1831042500664542,11.722863551139968,0.0,magnitude,total,S2
